team_name,format_name,format_id,category_id,element_id,team_id,uploaded_date,percentage_time,poss_per_game,points,ppp,rank,rating,fg_miss,fg_made,fga,fg,adjusted_fg,percent_turnover,percent_ft,percent_shooting_foul,percent_score
Aurora University,Defensive           ,2,1,1,7,2018-12-23,1,87.1,85,0.98,0.07,Poor                          ,34,30.4,64.4,0.47,0.54,0.16,0.11,0.07,0.44
Aurora University,Offensive           ,1,10,1,7,2018-12-23,1,82.9,82.2,0.99,0.95,Excellent                     ,33.3,29.7,63,0.47,0.56,0.15,0.12,0.09,0.43
Benedictine (IL) Eagles,Defensive           ,2,1,1,6,2018-12-23,1,81.8,71.2,0.87,0.57,Good                          ,32.2,24.8,57.1,0.44,0.5,0.18,0.14,0.09,0.4
Benedictine (IL) Eagles,Offensive           ,1,10,1,6,2018-12-23,1,81.4,71.1,0.87,0.52,Good                          ,31.5,24.8,56.4,0.44,0.51,0.2,0.14,0.1,0.4
Concordia (Chicago) Cougars,Defensive           ,2,1,1,11,2018-12-23,1,97.5,99.8,1.02,0.01,Poor                          ,34.8,35,69.8,0.5,0.57,0.14,0.17,0.11,0.48
Concordia (Chicago) Cougars,Offensive           ,1,10,1,11,2018-12-23,1,97.9,85.2,0.87,0.51,Good                          ,41.6,31.4,73,0.43,0.49,0.15,0.12,0.09,0.4
Concordia (WI) Falcons,Defensive           ,2,1,1,3,2018-12-23,1,83,76.1,0.92,0.28,Below Average                 ,33.1,28.1,61.3,0.46,0.53,0.18,0.11,0.07,0.41
Concordia (WI) Falcons,Offensive           ,1,10,1,3,2018-12-23,1,84.1,79.1,0.94,0.82,Very Good                     ,30.4,30,60.4,0.5,0.55,0.18,0.13,0.09,0.44
Dominican (IL) Stars,Defensive           ,2,1,1,9,2018-12-23,1,90.3,84.2,0.93,0.21,Below Average                 ,35,30.9,65.9,0.47,0.53,0.17,0.14,0.1,0.43
Dominican (IL) Stars,Offensive           ,1,10,1,9,2018-12-23,1,86.5,70.9,0.82,0.29,Below Average                 ,37.4,26,63.4,0.41,0.49,0.19,0.09,0.06,0.36
Edgewood College (WI) Eagles,Defensive           ,2,1,1,8,2018-12-23,1,78.7,76.1,0.97,0.1,Poor                          ,33.1,28,61.1,0.46,0.52,0.13,0.12,0.09,0.44
Edgewood College (WI) Eagles,Offensive           ,1,10,1,8,2018-12-23,1,77.3,69.9,0.91,0.67,Very Good                     ,30.5,24.2,54.6,0.44,0.51,0.17,0.15,0.09,0.42
Illinois Tech Scarlet Hawks,Defensive           ,2,1,1,12,2018-12-23,1,75.4,60.9,0.81,0.85,Excellent                     ,33.6,21.9,55.5,0.4,0.45,0.16,0.12,0.08,0.38
Illinois Tech Scarlet Hawks,Offensive           ,1,10,1,12,2018-12-23,1,79.9,63.3,0.79,0.16,Below Average                 ,33.9,24.8,58.7,0.42,0.47,0.19,0.1,0.06,0.37
Lakeland (WI) Muskies,Defensive           ,2,1,1,5,2018-12-23,1,89.6,80.4,0.9,0.39,Average                       ,35.2,29.7,64.8,0.46,0.5,0.16,0.13,0.08,0.43
Lakeland (WI) Muskies,Offensive           ,1,10,1,5,2018-12-23,1,87,76.9,0.88,0.58,Good                          ,38.2,25.8,63.9,0.4,0.47,0.13,0.15,0.11,0.42
Marian University (WI) Sabres,Defensive           ,2,1,1,10,2018-12-23,1,88.5,75.6,0.85,0.64,Good                          ,34.9,27.7,62.6,0.44,0.48,0.18,0.14,0.09,0.41
Marian University (WI) Sabres,Offensive           ,1,10,1,10,2018-12-23,1,85.7,71.4,0.83,0.33,Average                       ,38.3,27,65.3,0.41,0.47,0.16,0.1,0.07,0.38
Milwaukee School of Engineering,Defensive           ,2,1,1,1,2018-12-23,1,84.1,69.8,0.83,0.76,Very Good                     ,36,25.5,61.5,0.41,0.48,0.17,0.12,0.09,0.38
Milwaukee School of Engineering,Offensive           ,1,10,1,1,2018-12-23,1,83.5,82.8,0.99,0.94,Excellent                     ,29.4,29.8,59.2,0.5,0.57,0.18,0.15,0.09,0.46
Rockford Regents,Defensive           ,2,1,1,4,2018-12-23,1,92.4,88.3,0.96,0.12,Poor                          ,36.5,30.8,67.4,0.46,0.53,0.15,0.15,0.1,0.43
Rockford Regents,Offensive           ,1,10,1,4,2018-12-23,1,93.6,79.5,0.85,0.42,Average                       ,38.7,29.4,68.1,0.43,0.48,0.17,0.12,0.08,0.41
Wisconsin Lutheran Warriors,Defensive           ,2,1,1,2,2018-12-23,1,85.8,81.1,0.95,0.15,Below Average                 ,33,29.2,62.2,0.47,0.54,0.17,0.13,0.08,0.43
Wisconsin Lutheran Warriors,Offensive           ,1,10,1,2,2018-12-23,1,86.3,76,0.88,0.56,Good                          ,34.8,27.5,62.2,0.44,0.51,0.18,0.11,0.08,0.4
